m,n=100000,n=1000000,n=10000000
6100,5.400041118264198e-06,4.00003045797348e-07,4.00003045797348e-07
6200,4.900037311017513e-06,4.00003045797348e-07,4.00003045797348e-07
6300,6.6999346017837524e-06,6.00004568696022e-07,9.998911991715431e-07
6400,4.00003045797348e-06,4.00003045797348e-07,4.00003045797348e-07
6500,5.300040356814861e-06,4.00003045797348e-07,4.00003045797348e-07
6600,3.400025889277458e-06,5.00003807246685e-07,4.00003045797348e-07
6700,2.700020559132099e-06,5.00003807246685e-07,4.00003045797348e-07
6800,3.100023604929447e-06,4.00003045797348e-07,4.00003045797348e-07
6900,5.899928510189056e-06,5.00003807246685e-07,3.00002284348011e-07
7000,5.200039595365524e-06,1.800013706088066e-06,5.00003807246685e-07
7100,4.900037311017513e-06,5.00003807246685e-07,4.00003045797348e-07
7200,5.499925464391708e-06,4.00003045797348e-07,4.00003045797348e-07
7300,5.500041879713535e-06,5.00003807246685e-07,4.00003045797348e-07
7400,6.100046448409557e-06,4.00003045797348e-07,3.00002284348011e-07
7500,6.769993342459202e-05,5.00003807246685e-07,4.00003045797348e-07
7600,5.700043402612209e-06,6.00004568696022e-07,4.00003045797348e-07
7700,9.599956683814526e-06,4.998873919248581e-07,4.00003045797348e-07
7800,6.500049494206905e-06,5.00003807246685e-07,4.00003045797348e-07
7900,7.100054062902927e-06,4.00003045797348e-07,4.00003045797348e-07
8000,6.300047971308231e-06,4.00003045797348e-07,4.00003045797348e-07
8100,5.900044925510883e-06,4.00003045797348e-07,4.00003045797348e-07
8200,5.400041118264198e-06,5.00003807246685e-07,2.200016751885414e-06
8300,6.4999330788850784e-06,5.00003807246685e-07,1.400010660290718e-06
8400,3.4999102354049683e-06,3.00002284348011e-07,2.00001522898674e-07
8500,3.5999109968543053e-06,5.00003807246685e-07,4.00003045797348e-07
8600,3.400025889277458e-06,5.00003807246685e-07,4.00003045797348e-07
8700,4.100031219422817e-06,6.00004568696022e-07,5.00003807246685e-07
8800,4.300032742321491e-06,5.00003807246685e-07,3.00002284348011e-07
8900,8.200062438845634e-06,1.400010660290718e-06,4.00003045797348e-07
9000,5.499925464391708e-06,1.500011421740055e-06,4.00003045797348e-07
9100,4.600035026669502e-06,5.00003807246685e-07,4.00003045797348e-07
9200,4.800036549568176e-06,6.00004568696022e-07,4.00003045797348e-07
