m,n=100000,n=1000000,n=10000000
880,1.300009898841381e-06,3.00002284348011e-07,3.00002284348011e-07
890,1.8999562598764896e-06,3.00002284348011e-07,2.00001522898674e-07
900,1.400010660290718e-06,3.00002284348011e-07,2.00001522898674e-07
910,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
920,1.1999509297311306e-06,2.00001522898674e-07,2.00001522898674e-07
930,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
940,1.400010660290718e-06,3.00002284348011e-07,2.00001522898674e-07
950,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
960,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
970,1.00000761449337e-06,2.00001522898674e-07,1.9994331523776054e-07
980,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
990,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1000,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1010,9.999494068324566e-07,3.00002284348011e-07,2.00001522898674e-07
1020,1.2999516911804676e-06,3.00002284348011e-07,2.00001522898674e-07
1030,1.500011421740055e-06,3.00002284348011e-07,2.00001522898674e-07
1040,1.400010660290718e-06,3.00002284348011e-07,2.00001522898674e-07
1050,1.200009137392044e-06,2.00001522898674e-07,2.00001522898674e-07
1060,2.900022082030773e-06,3.00002284348011e-07,1.9994331523776054e-07
1070,2.500019036233425e-06,2.00001522898674e-07,3.00002284348011e-07
1080,2.800021320581436e-06,3.00002284348011e-07,4.00003045797348e-07
1090,1.700012944638729e-06,3.00002284348011e-07,3.00002284348011e-07
1100,2.300017513334751e-06,3.00002284348011e-07,3.00002284348011e-07
1110,3.5999692045152187e-06,4.00003045797348e-07,2.00001522898674e-07
1120,3.00002284348011e-06,3.00002284348011e-07,3.00002284348011e-07
1130,2.2999593056738377e-06,4.00003045797348e-07,4.00003045797348e-07
1140,1.800013706088066e-06,3.00002284348011e-07,3.00002284348011e-07
1150,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
1160,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1170,1.100008375942707e-06,3.00002284348011e-07,1.9994331523776054e-07
1180,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
1190,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1200,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1210,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1220,1.00000761449337e-06,2.9994407668709755e-07,2.00001522898674e-07
1230,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1240,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1250,9.999494068324566e-07,2.00001522898674e-07,2.00001522898674e-07
1260,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1270,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1280,2.00001522898674e-06,3.00002284348011e-07,2.00001522898674e-07
1290,1.700012944638729e-06,3.00002284348011e-07,3.00002284348011e-07
1300,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
1310,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1320,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1330,2.00001522898674e-06,2.00001522898674e-07,2.00001522898674e-07
1340,1.400010660290718e-06,2.00001522898674e-07,3.00002284348011e-07
1350,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1360,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
1370,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
1380,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1390,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1400,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1410,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1420,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1430,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1440,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
1450,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
